Year,Dublin_1,Balbriggan,Blackrock,Booterstown,Dalkey,Donabate,Dun_Laoghaire,Glenageary,Howth,Killiney,Kinsealy,Lucan,Lusk,Malahide,Monkstown,Mount_Merrion,Portmarnock,Rathcoole,Rush,Saggart,Sandycove,Shankill,Skerries,Stillorgan,Swords,Dublin1,I.F.S.C.,Parnell_Street,Spencer_Dock,Summerhill,Dublin2,Aungier_Street,Charlemont_Street,Grand_Canal_Dock,Grand_Canal_Square,Hanover_Quay,Lower_Mount_Street,Pearse_Street,Tara_Street,Temple_Bar,Townsend_Street,Dublin3,Clonliffe,Clontarf,East_Wall,Fairview,Marino,North_Strand,Dublin4,Ballsbridge,Donnybrook,Irishtown,Merrion,Pembroke,Ringsend,Sandymount,Dublin5,Artane,Killester,Raheny,Dublin6,Dartry,Harolds_Cross,Milltown,Ranelagh,Rathgar,Rathmines,Dublin6W,Templeogue,Terenure,Dublin7,Arbour_Hill,Cabra,Navan_Road,North_Circular_Road,Phibsboro,Smithfield,Stoneybatter,Dublin8,Christchurch,Cork_Street,Inchicore,Islandbridge,Kilmainham,Portobello,Rialto,South_Circular_Road,The_Coombe,Dublin9,Ballymun,Beaumont,Drumcondra,Glasnevin,Santry,Whitehall,Dublin10,Ballyfermot,Cherry_Orchard,Dublin11,Finglas,Meakstown,St_Margarets_Road,Dublin12,Crumlin,Drimnagh,Kimmage,Walkinstown,Dublin13,Baldoyle,Balgriffin,Clongriffin,Donaghmede,Sutton,Dublin14,Churchtown,Clonskeagh,Dundrum,Goatstown,Rathfarnham,Dublin15,Ashtown,Blanchardstown,Carpenterstown,Castleknock,Clonee,Clonsilla,Coolmine,Mulhuddart,Ongar,Porterstown,Royal_Canal_Park,Tyrrelstown,Dublin16,Ballinteer,Knocklyon,Dublin17,Malahide_Road,Dublin18,Cabinteely,Carrickmines,Foxrock,Leopardstown,Sandyford,Stepaside,Dublin20,Chapelizod,Palmerstown,Clondalkin,Dublin24,Ballycullen,Citywest,Firhouse,Tallaght
2008,1188.35,1032.9,1587.37,1659.92,1666.35,1147.22,1318.29,1733.01,1727.85,1729.22,1216.12,1222.9,1149.52,1553.18,1311.95,1854.79,1337.47,1071.49,1081.6,1273.57,1574.68,1385.42,1105.2,1570.8,1200.21,1188.35,1427.48,1351.51,1576.73,1154.42,1411.05,1149.86,1505.04,1716.17,1556.59,1898.71,1250.05,1309.51,1282.37,1464.12,1373.65,1223.29,1087.46,1289.39,1253.55,1024.2,1423.75,1219.78,1561.22,1664.94,1601,1448.67,1509.71,1302.09,1389.57,1703.18,1310.1,1311.39,1355.67,1357.68,1143.18,1619.58,1264.25,1571.21,1210.78,1095.66,1021.38,1306.68,1406.01,1470.7,1071.6,1230,987.42,1257.82,1046.95,923.69,1349.41,1124.44,1135.86,1207.7,1242.96,1166.15,1126.1,1187.27,1057.6,1152.69,963.85,0,1202.1,1083.75,1265.24,1184.51,1072.7,1208.18,1338.95,1118.12,1147.98,990,1165.97,1164.83,1225.08,1121.14,1251.14,1203.2,1315.93,1222.02,1249.65,1326.15,1351.58,1250,1226.82,1252.33,1527.77,1541.74,1601.78,1671.97,1508.56,1742.94,1407.53,1238.77,1249.39,1172.88,1204.37,1329.85,1181.75,1236.5,1128.62,1119.68,1149.91,1161.08,1226.47,1277.87,1433.66,1450.19,1388.38,1259.42,1278.54,1511.56,1417.52,1593.18,2145.34,1595.69,1456.54,1420.41,1198.25,1193.42,1220.99,1136.34,1201.83,1304.91,1209.86,1246.29,1177.42
2009,1097.56,924.49,1422.84,1540.51,1580.46,995.58,1223.21,1559.08,1417.26,1531.15,1103.92,1116.26,1050.67,1378.72,1195.41,1772.4,1250.8,952.17,1004.37,1148.49,1457.82,1241.39,1035.6,1419.57,1091.02,1097.56,1253.19,1238.11,1460.98,1149.25,1299.74,1012.9,1366.88,1573.86,1601.47,1746.82,1146.99,1172.37,1154.6,1261.65,1244.64,1097.71,982.29,1155.96,1100.78,947.9,1276.38,1030.01,1402.56,1503.45,1420.31,1238.43,1354.61,1199.24,1259.15,1516.73,1193.23,1204.7,1179.93,1218.86,1073.17,1436.58,1116.51,1417.68,1163.23,1041.82,942.9,1210.99,1254.97,1339.04,996.66,1200.19,949.55,1156.67,1004.62,881.15,1215.29,1055.44,1041.55,1048.24,1118.32,1077.65,1055.02,1092.54,968.79,1016.56,983.48,1075.28,1099.09,939.98,1135.14,1094.35,1020.94,1114.17,1093.08,1035.31,1051.6,979.68,1053.78,1057.36,1113.19,1060.04,1132.53,1080.49,1197.44,1130.43,1153.86,1187.55,1201.41,1233.86,1116.71,1101.8,1387.55,1402.24,1466.8,1553.54,1363.58,1618.61,1270.99,1122.47,1107.4,1076.84,1116.38,1203.25,1076.08,1123.45,1025.65,1029.49,1035.3,1120.41,1104.57,1116.59,1303.42,1307.35,1266.55,1118.03,1161.9,1343.89,1298.88,1339.33,1826.76,1392.58,1293.63,1230.8,1095.13,1079.87,1124.98,1037.62,1063.7,1177.27,1093.78,1150.7,1038.22
2010,975.68,805.28,1267.91,1406.4,1490.2,860.85,1107.73,1364.42,1256.56,1403.97,1005.62,1004.19,941.72,1239.7,1065.99,1651.21,1112.04,871.79,918.94,1000.63,1308.41,1120.45,926.18,1280.51,965.82,975.68,1136.28,1069.74,1289.58,1012.55,1171.38,927.13,1242.92,1436.04,1511.7,1637.72,1041.29,1061.61,1024.13,1144.64,1092.91,974.01,892.65,1025.86,948.4,871.65,1109.58,916.22,1284.84,1359.11,1312.17,1130.18,1208.75,1125.32,1168.95,1435.55,1054.15,1059.43,1044.34,1086.01,993.77,1319.4,1018.11,1244.89,1072.8,961.17,874.57,1122.57,1184.72,1253.63,909.09,1085.51,893.77,1042.44,979.17,820.72,1090.65,967.16,939.2,935.37,990.61,967.03,965.83,1004.75,906.2,900.29,895.07,932.2,981.99,801.31,986.84,1000.46,963.1,974.24,974.89,923.82,946.42,866.5,942.53,947.2,1012.64,976.63,1003.02,964.35,1035.89,991.34,1074.22,1051.05,1048.15,1050.49,1010.61,1008.82,1225.26,1262.32,1351.39,1399.78,1201.9,1479.39,1162.87,999.58,993.75,957.25,999.51,1071.71,963.32,1007.07,979.25,933.18,896.57,980.67,988.21,978.76,1174.68,1182.8,1145.34,984.99,998.91,1210.08,1154.41,1228.36,1726.47,1262.77,1129.83,1105.65,975.94,937.88,1026.52,916.67,948.14,1057.85,950.2,1052.42,925.97
2011,984.43,769.11,1249.65,1332.29,1463.42,858.72,1054.81,1294.56,1245.03,1436.21,982.17,978.93,911.73,1222.04,1058.42,1634.23,1097.59,896.35,868.07,946.8,1226.67,1106.89,887.25,1253.65,931.99,984.43,1535.66,1032.38,1292.74,931.79,1133.41,937.34,1221.15,1456.54,1521.03,1575,1013.44,1019.8,946.18,1122.01,1072.3,935.07,797.99,990.51,922.06,878.69,1092.03,879.55,1273.93,1358.83,1305.69,1111.05,1201.48,1145.45,1174.54,1390.6,1014.18,1005.06,1026.83,1039.24,956.2,1272.08,978.5,1241.72,1005.16,906.2,858.89,1089.74,1215.41,1190.79,857.51,1047.73,834.04,983.15,929.59,769.05,1009.42,928.64,907.84,908.56,943.2,906.68,1013.51,961.98,874.43,885.45,805.73,902.77,946.38,773.61,943.97,965.58,923.44,926.23,1000.87,866.74,903.37,814.13,895.28,893.65,948.95,937.97,959.63,934.54,983.11,941.38,1021.8,1033.12,1006.59,1039.82,962.89,982.39,1259.7,1233.59,1284.27,1327.94,1178.28,1458.54,1131.38,955.76,957.33,905.02,952.77,1034,923.77,967.09,953.98,885.6,857.12,848.6,944.9,939.55,1144.71,1181.6,1105.6,939.9,936.07,1184.72,1118.93,1202.07,1742.38,1227.05,1111.18,1059.75,931.16,905.07,959.9,880.6,911.61,1016.79,920.15,1003.27,895.09
2012,984.34,771.06,1292.61,1344.05,1498.43,863.08,1074.23,1450.04,1303.38,1456.86,997,991.41,897.64,1264.12,1085.15,1714.41,1086.05,874.11,871.25,935.29,1487.84,1093.04,895.78,1279.3,941.24,984.34,1905.78,1041.51,1360.92,966.48,1177.38,964.52,1260.56,1507.89,1795,1534.79,1076.15,1062.19,949.25,1120.31,1117.39,946.03,805.22,1017.72,958.41,890.79,1123.38,856.37,1297.08,1392.28,1300.83,1167.13,1234.59,1205.67,1171.83,1381.21,1012.06,994.05,1015.82,1042.97,970.46,1324.58,995.73,1333.48,1032.97,886.9,847.76,1079.24,1243.61,1202.28,843.53,1091.28,772.32,1000.98,838.69,760.42,989.54,915.82,917,920.91,952.08,901.87,1070.74,946.81,859.33,891.75,733.36,928.93,964.24,770.99,962.55,980.45,946.26,947.95,1049.38,871.16,901.32,836.52,903.57,889.83,927.59,948.78,957.66,940.6,982.64,953.72,994.42,1050.2,1006.07,1087.89,983.3,993.86,1287.12,1263.8,1294.33,1416.24,1193.34,1476.06,1148.32,954.66,956.82,916.86,967.11,1041.8,924.14,962.33,933.02,856.19,854.4,838.47,943.28,954.08,1145.32,1209.5,1100.42,923.07,927.21,1200.5,1145.44,1226.62,1779.49,1240.77,1144.53,1100.59,923.32,910.7,941.28,894.23,910.77,1038.79,928.01,1004.05,890.18
2013,987.49,784.3,1354.16,1426.87,1616.79,894.68,1154.7,1460.28,1314.24,1469.96,1036.4,1008.98,899.86,1319.77,1126.33,1822.25,1129.67,909.46,879.81,980.04,1547.51,1116.23,922.14,1318.33,962.75,987.49,1931.15,1055.43,1456.93,966.19,1233.91,1017.86,1332.5,1621.03,1916.81,1656.41,1142.6,1130.1,1002.03,1137.4,1163.3,989.09,893.35,1059.86,980.27,918.43,1118.08,954.47,1362.81,1438.9,1381.11,1235.89,1330.96,1263.24,1204.9,1464.32,1036.51,1018.74,1046.68,1082.91,1011.76,1401.01,1045.09,1393.77,1084.54,930.46,871.95,1134.7,1272.73,1271,875.74,1128.02,808.91,1052.42,860.61,791.64,1056.95,927.73,962.8,961.23,1002.7,925.54,1152.47,997.33,907.09,936.8,801.1,960.16,1053.54,774.87,1006.6,1038.23,1404.72,990.78,1040.05,889.64,902.83,836.25,923.29,912.95,926.1,961.61,983.83,942.07,1021.34,1019.23,986.47,1085.49,1051.16,1174.64,1045.14,1000,1256.7,1322.41,1342.69,1487.46,1254.77,1560.06,1203.23,984.48,991.86,939.08,1013.31,1094.49,945.29,983.24,947.54,853.2,895.04,866.82,992.89,964.17,1198.35,1259.38,1163.03,941.23,931.28,1243.32,1187.72,1266.3,1806.21,1296.15,1197.8,1129.21,958.96,951.1,977.28,913.39,929.51,1037.65,957.04,1041.98,907.39
2014,1070.72,818.11,1470.64,1510.2,1749.42,947.34,1226.03,1552.67,1335.38,1534.78,1067.69,1049.95,981.2,1370.82,1176.38,1831.49,1208.01,994.33,928.02,1037.66,1549.11,1174.65,975.98,1437.81,1020.52,1070.72,1980.58,1128,1570.86,947.88,1309.02,1107.22,1392.77,1772.16,2033.28,1778.44,1333.8,1244.09,1124.96,1217.94,1271.3,1067.47,909.75,1144.82,1053.55,975.92,1178.63,1015.49,1475.98,1556.97,1540.62,1323.36,1400.22,1349.05,1299.04,1568.07,1104.55,1098.33,1161.63,1129.11,1095,1444.77,1191.11,1461.98,1186.51,1010.87,936.36,1225,1296.14,1358.09,955.66,1193.36,890.01,1117.62,927.53,870.57,1190.65,1006.85,1032.71,1028.29,1075.33,1029,1252.27,1077.71,1000.36,1016.77,868.54,1119.05,1174.14,845.39,1071.09,1117.91,1453.49,1061.7,1156.81,917.88,913.25,910.76,993,979.86,954.41,1024.5,1054.87,998.53,1103.5,1113.57,1057.34,1152.16,1140.93,1267.47,1093.87,1052.47,1351.51,1426.33,1434.1,1631.41,1382.93,1712.66,1295.81,1059.11,1088.37,1005.19,1066.35,1187.51,1007.91,1042.51,1068.76,905.87,964.27,948.17,1070.63,1016.48,1287.91,1363.84,1277.67,1001.85,1022.95,1350.17,1276.89,1357.36,1910.54,1422.64,1304.86,1214.75,1026.19,1018.97,1041.38,957.37,1005.85,1092.31,1026.14,1104.74,1001.49
2015,1156.24,879.88,1583.98,1645.04,1920.07,1017.2,1328.73,1757.5,1444.73,1662.89,1137.38,1133.69,1058.42,1472.36,1277.09,2017.93,1272.5,1050.69,1006.96,1117.03,1620.09,1244.06,1070.66,1520.42,1111.6,1156.24,2142.23,1281.97,1639.78,1019.93,1445.15,1223.03,1474,1941.28,2217.68,1854.94,1452.08,1325.67,1266.56,1353.72,1393.01,1160.82,933.74,1261.68,1158,1047.37,1334.31,1062.77,1603.55,1695.75,1678.57,1379.44,1513.15,1504.72,1412.07,1668.11,1184.91,1141.3,1257.44,1217.23,1198.43,1471.48,1334.88,1592.87,1312.28,1124.01,1011.48,1319.35,1393.64,1449.57,1046.48,1209.25,970.4,1205.46,1037.94,931.89,1283.79,1118.28,1121.05,1136.45,1095.33,1116.49,1399.14,1171.81,1051.75,1099.14,947.67,1177.73,1273.12,979.89,1177.73,1221.83,1182.04,1162.36,1227.28,975.58,966.61,956.87,1081.87,1068.38,1016.57,1120.85,1144.38,1115.48,1181.45,1248.47,1135.3,1243.58,1248.67,1410.63,1162.31,1114.59,1478.09,1538.78,1518.72,1777.98,1472.68,1779.26,1409.86,1158.76,1196.69,1099.33,1179.78,1295.84,1106.2,1137.93,1146.49,958.44,1046.06,1090.08,1166.35,1124.66,1422.76,1482,1369.24,1076.95,1102.07,1463.88,1368.53,1414.27,2030.47,1576.26,1422.31,1313.54,1112.97,1110.11,1196.71,1028.89,1106.2,1193.47,1111.94,1187.55,1102.35
2016,1230.62,971.39,1717.63,1751.47,2011.5,1125.24,1429.64,1837.8,1554.63,1769.07,1212.6,1223.62,1125.59,1572.47,1421.61,2136.83,1379.9,1172.48,1046.96,1227.37,1941.86,1336.42,1149.01,1618.81,1204.04,1230.62,2031.45,1381.04,1781.17,1070.43,1578.64,1390.42,1585.13,2142.42,2490.48,2030.38,1484.24,1463.52,1418,1445.3,1517.54,1256.34,1036.39,1358.63,1251.49,1118.68,1415.49,1174.62,1699.76,1796.22,1790.31,1524.79,1581.55,1617.68,1519.75,1767.13,1274.04,1204.63,1282.53,1346.06,1285.89,1552.88,1362.97,1754.15,1393.63,1216.77,1098.34,1410.03,1570.26,1566.75,1123.66,1275.36,1058.31,1319.29,1179.73,963.53,1361.24,1259.14,1220.51,1227.47,1181.93,1210.12,1531.93,1275.14,1170.13,1171.64,1050.51,1230.69,1315.41,1071.28,1275.35,1299.01,1287.81,1274.97,1309.62,1044.8,1028.15,1008.66,1170.91,1163.83,1092.24,1187.62,1238.77,1215.36,1300.28,1361.67,1172.36,1362.24,1301.78,1577.12,1263.74,1210.24,1524.34,1661.5,1622.03,1909.16,1581.72,1896.18,1554.85,1247.66,1268.6,1186.8,1268.47,1398.89,1187.03,1219.75,1174.14,1046.42,1133.04,1167.69,1249.48,1200.31,1546.53,1584.18,1445.83,1141.86,1162.76,1589.39,1486.33,1560.82,2132.76,1728.39,1540.64,1440.48,1175.28,1096.71,1290.33,1105.13,1159.01,1298.76,1205.66,1284.34,1139.62
2017,1309.99,1066.78,1812.74,1850.2,2066.11,1208.33,1553.25,1908.98,1715.17,1936.06,1316.4,1317.92,1191.5,1710.75,1591.33,2257.64,1467.49,1269.56,1100.64,1293.49,2003.78,1444.1,1205.16,1732.09,1288.51,1309.99,2081.13,1420.96,1878.84,1119.22,1695.8,1425.86,1682.44,2271.88,2821.2,1983.73,1599.92,1550.19,1495.18,1574.86,1642.16,1352.58,1149.06,1460,1311.85,1195.23,1537.61,1310.21,1827.8,1996.7,1834.89,1687.49,1608.25,1668,1632.31,1863.51,1374.93,1343.02,1386.74,1436.78,1371.14,1766.36,1403.09,1854.89,1516.41,1332.77,1164.76,1519.54,1713.98,1694.88,1195.58,1489.53,1130.86,1434.2,1236.88,1031.12,1432.69,1383.18,1335.83,1365.48,1281.71,1308.04,1696.72,1375.13,1331.08,1270.85,1113.5,1277.4,1378.31,1155.11,1390.05,1404.15,1368.31,1348.64,1446.59,1123.26,1112.56,1120.09,1246.03,1241.65,1183.57,1237.64,1318.13,1278.43,1379.61,1416.55,1254.84,1492.27,1391.45,1707.72,1366.21,1324.36,1602.41,1769.25,1746.1,1950.14,1731.13,2052.61,1671.09,1333.41,1369.76,1260.96,1369.66,1503.66,1262.56,1302.05,1203.46,1127.88,1208.87,1239.37,1305.49,1282.6,1598.55,1680.77,1521.93,1225.67,1365.33,1711.61,1605.59,1696.01,2366.75,1844.05,1638.67,1521.95,1256.16,1175.45,1352.57,1180.39,1245.45,1388.25,1281.3,1354.67,1226.43
2018,1488.53,1138.16,1919.82,1961.99,2297.43,1243.63,1769.84,2017.72,1745.68,2110.61,1414.27,1477.66,1276.58,1854.41,1661.5,2308.6,1539.88,1335.66,1226.34,1381.82,2168.41,1545.72,1320.47,1813.83,1364.11,1488.53,2256.97,1587.23,2011.23,1407.79,1825.13,1598.54,1828.62,2351.34,2902.89,2241.67,1750.59,1641.97,1490.79,1615.45,1731.6,1466.39,1323.51,1561.34,1494.87,1302.85,1666.51,1391.8,1973.27,2184.42,1909.48,1884.21,1690.22,1836.21,1773.05,2027.91,1484.94,1456.77,1571.79,1530.58,1473.13,1860.59,1498.6,1947.97,1637.43,1469.03,1243.96,1634.93,1780.93,1812.7,1282.38,1557.51,1222.94,1541.04,1232.77,1088.73,1549.54,1439.27,1455.23,1477.48,1372.72,1360.09,1798.08,1486.92,1402.98,1341.69,1271.46,1442.2,1474.56,1275.76,1528.36,1517.8,1463.15,1433.83,1437.48,1245.48,1229.82,1264.61,1360.61,1360.31,1254.51,1371.41,1395.63,1354.46,1415.93,1525,1393.56,1588.02,1503.25,1774.6,1438.63,1371.92,1790.85,1863.5,1928.37,2042.9,1817.01,2131.06,1730.05,1434.58,1483.22,1335.18,1445.36,1591.89,1349.18,1495.9,1298.55,1211.59,1313.37,1493.23,1387,1363.6,1714.82,1771.5,1657.31,1349.62,1605.83,1789.76,1692.76,1703.81,2503.41,1961.15,1713.1,1589.93,1397.12,1366.81,1412.42,1283.69,1345.85,1469.11,1385.68,1405.37,1320.39
2019,1520.6,1238.6,2024.67,2069,2468.55,1398.08,1904.08,2166.26,1831.71,2186.11,1569.86,1553.46,1371.72,1954.6,1762.86,2714.78,1689.42,1467.92,1343.99,1511.87,2188.68,1575.76,1385.18,1881.57,1443.33,1520.6,1796.17,1693.46,2102.87,1639.03,2031.71,1857.27,1945.33,2391.99,3004.78,2480.34,1800,1785.73,1520,1745.23,1814.77,1567.49,1395.33,1642.19,1728.8,1373.39,1700.03,1467.26,2104.11,2329.3,2021.91,1951.42,1782.64,1854.99,1889.81,2207.49,1591.9,1546.78,1638.74,1633.45,1574.48,2088.01,1555.64,1994.07,1753.71,1523.22,1356.25,1703.45,1849.31,1917.07,1384.21,1668.22,1325.77,1627.16,1324.69,1142.23,1642.67,1496.32,1542.32,1573.48,1461.66,1420.26,1858.16,1541.74,1438.36,1450.11,1421.74,1517.45,1553.16,1364.39,1636.94,1536.69,1585.8,1539.61,1551.87,1339.06,1328.05,1346.83,1433.24,1419.86,1386.55,1409.74,1492.11,1502.67,1478.15,1603.19,1440.84,1644.94,1574.19,1836.59,1499.97,1351.92,1840.05,1975.93,2119.44,2175.65,1861.09,2308.59,1782.11,1516.76,1589.66,1411.66,1520.48,1678.56,1404,1575.64,1463.52,1297.96,1359.56,1583.84,1462.23,1433.18,1822.98,1801.08,1796.42,1424.32,1632.71,1863.9,1808.01,1811,2579.62,1999.37,1776.84,1700.69,1454.83,1419.55,1480.23,1377.27,1425.33,1551.83,1473.72,1544.9,1382.28
